player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
Dalano Banton,https://www.basketball-reference.com/players/b/bantoda01.html,20.8,4.3,6.3,2.9
David Johnson,https://www.basketball-reference.com/players/j/johnsda08.html,23.9,4.0,8.9,2.9
Sharife Cooper,https://www.basketball-reference.com/players/c/coopesh01.html,33.1,4.3,20.2,8.1
Marcus Zegarowski,https://www.basketball-reference.com/players/z/zegarma01.html,32.2,3.5,14.1,4.2
Filip Petrušev,https://www.basketball-reference.com/players/p/petrufi01.html,18.8,5.4,12.0,0.9
Brandon Boston Jr.,https://www.basketball-reference.com/players/b/bostobr01.html,30.4,4.5,11.5,1.6
Luka Garza,https://www.basketball-reference.com/players/g/garzalu01.html,27.1,7.3,18.2,1.2
Charles Bassey,https://www.basketball-reference.com/players/b/bassech01.html,30.5,10.5,15.9,0.8
Sandro Mamukelashvili,https://www.basketball-reference.com/players/m/mamuksa01.html,24.4,5.7,9.6,1.6
Aaron Wiggins,https://www.basketball-reference.com/players/w/wiggiaa01.html,28.2,4.6,11.0,1.6
Scottie Lewis,https://www.basketball-reference.com/players/l/lewissc01.html,27.6,3.4,8.2,1.1
Balša Koprivica,https://www.basketball-reference.com/players/k/kopriba01.html,14.6,3.9,6.8,0.5
Jericho Sims,https://www.basketball-reference.com/players/s/simsje01.html,20.5,5.4,6.6,0.4
RaiQuan Gray,https://www.basketball-reference.com/players/g/grayra01.html,18.5,3.9,6.8,1.4
Paolo Banchero,https://www.basketball-reference.com/players/b/banchpa01.html,33.0,7.8,17.2,3.2
Chet Holmgren,https://www.basketball-reference.com/players/h/holmgch01.html,26.9,9.9,14.1,1.9
Jabari Smith Jr.,https://www.basketball-reference.com/players/s/smithja05.html,28.8,7.4,16.9,2.0
Keegan Murray,https://www.basketball-reference.com/players/m/murrake02.html,25.4,7.0,15.8,1.0
Jaden Ivey,https://www.basketball-reference.com/players/i/iveyja01.html,28.6,4.3,14.9,2.6
Bennedict Mathurin,https://www.basketball-reference.com/players/m/mathube01.html,29.4,5.3,14.8,2.0
Jeremy Sochan,https://www.basketball-reference.com/players/s/sochaje01.html,25.1,6.4,9.2,1.8
Johnny Davis,https://www.basketball-reference.com/players/d/davisjo06.html,29.2,6.2,13.4,1.6
Jalen Williams,https://www.basketball-reference.com/players/w/willija06.html,30.5,3.7,12.6,2.9
Jalen Duren,https://www.basketball-reference.com/players/d/durenja01.html,25.3,8.1,12.0,1.3
Ochai Agbaji,https://www.basketball-reference.com/players/a/agbajoc01.html,32.6,4.4,13.5,1.6
Mark Williams,https://www.basketball-reference.com/players/w/willima07.html,20.5,6.3,9.7,0.8
AJ Griffin,https://www.basketball-reference.com/players/g/griffaj01.html,24.0,3.9,10.4,1.0
Tari Eason,https://www.basketball-reference.com/players/e/easonta01.html,22.4,6.3,13.0,1.1
Dalen Terry,https://www.basketball-reference.com/players/t/terryda01.html,24.9,4.2,6.6,2.9
Jake LaRavia,https://www.basketball-reference.com/players/l/laravja01.html,29.5,6.3,12.2,2.6
Malaki Branham,https://www.basketball-reference.com/players/b/branhma01.html,29.6,3.6,13.7,2.0
Christian Braun,https://www.basketball-reference.com/players/b/braunch01.html,28.5,5.0,10.1,1.8
Walker Kessler,https://www.basketball-reference.com/players/k/kesslwa01.html,17.9,5.8,8.2,0.6
David Roddy,https://www.basketball-reference.com/players/r/roddyda01.html,29.9,7.4,15.5,2.4
Blake Wesley,https://www.basketball-reference.com/players/w/weslebl01.html,29.3,3.7,14.4,2.4
Wendell Moore Jr.,https://www.basketball-reference.com/players/m/moorewe01.html,29.4,4.9,10.7,3.2
Patrick Baldwin Jr.,https://www.basketball-reference.com/players/b/baldwpa01.html,28.5,5.8,12.1,1.5
TyTy Washington Jr.,https://www.basketball-reference.com/players/w/washity02.html,29.2,3.5,12.5,3.9
Peyton Watson,https://www.basketball-reference.com/players/w/watsope01.html,12.7,2.9,3.3,0.8
Andrew Nembhard,https://www.basketball-reference.com/players/n/nembhan01.html,32.1,2.9,10.0,5.3
Caleb Houstan,https://www.basketball-reference.com/players/h/houstca01.html,32.0,4.0,10.1,1.4
Christian Koloko,https://www.basketball-reference.com/players/k/kolokch01.html,17.9,5.1,7.3,0.7
Jaylin Williams,https://www.basketball-reference.com/players/w/willija07.html,25.2,7.7,7.9,1.8
Max Christie,https://www.basketball-reference.com/players/c/chrisma02.html,30.8,3.5,9.3,1.5
Kennedy Chandler,https://www.basketball-reference.com/players/c/chandke01.html,30.8,3.2,13.9,4.7
Bryce McGowens,https://www.basketball-reference.com/players/m/mcgowbr01.html,33.3,5.2,16.8,1.4
E.J. Liddell,https://www.basketball-reference.com/players/l/liddeej01.html,26.4,6.1,14.1,1.6
Trevor Keels,https://www.basketball-reference.com/players/k/keelstr01.html,30.2,3.4,11.5,2.7
Moussa Diabaté,https://www.basketball-reference.com/players/d/diabamo01.html,24.9,6.0,9.0,0.8
Ryan Rollins,https://www.basketball-reference.com/players/r/rolliry01.html,31.5,5.6,16.4,3.1
Josh Minott,https://www.basketball-reference.com/players/m/minotjo01.html,14.6,3.8,6.6,0.9
Vince Williams Jr.,https://www.basketball-reference.com/players/w/willivi01.html,23.4,4.4,8.6,1.9
Kendall Brown,https://www.basketball-reference.com/players/b/brownke03.html,27.0,4.9,9.7,1.9
Isaiah Mobley,https://www.basketball-reference.com/players/m/mobleis01.html,27.5,7.0,10.1,2.0
Tyrese Martin,https://www.basketball-reference.com/players/m/martity01.html,30.8,6.7,11.1,1.3
JD Davison,https://www.basketball-reference.com/players/d/davisjd01.html,25.8,4.8,8.5,4.3
Jabari Walker,https://www.basketball-reference.com/players/w/walkeja01.html,22.0,7.2,11.5,0.9
